Number,Arrival time,X1,X2,X3,,,,
1,8,11,28,39,,,,
2,8,13,25,38,,X1,X2,X3
3,8,14,26,40,MEAN,12,26,38
4,8,9,26,35,,,,
5,8,14,23,37,,,,
6,8,10,26,36,,,,
7,8,9,27,36,,,,
8,8,10,27,37,,,,
9,8.01,11,26,37,,,,
10,8.01,12,24,36,,,,
11,8.01,11,28,39,,,,
12,8.01,14,25,39,,,,
13,8.01,12,28,40,,,,
14,8.01,15,24,39,,,,
15,8.01,15,28,43,,,,
16,8.01,15,25,40,,,,
17,8.01,13,25,38,,,,
18,8.01,15,28,43,,,,
19,8.01,11,24,35,,,,
20,8.02,11,28,39,,,,
21,8.02,9,26,35,,,,
22,8.03,9,24,33,,,,
23,8.03,12,23,35,,,,
24,8.04,11,26,37,,,,
25,8.04,9,29,38,,,,
26,8.04,9,26,35,,,,
27,8.04,10,28,38,,,,
28,8.04,14,28,42,,,,
29,8.04,14,24,38,,,,
30,8.04,10,27,37,,,,
31,8.04,14,25,39,,,,
32,8.05,10,24,34,,,,
33,8.05,12,29,41,,,,
34,8.05,12,25,37,,,,
35,8.06,15,27,42,,,,
36,8.07,12,26,38,,,,
37,8.08,14,29,43,,,,
38,8.08,10,26,36,,,,
39,8.08,10,26,36,,,,
40,8.11,14,25,39,,,,
41,8.11,15,29,44,,,,
42,8.15,14,26,40,,,,
43,8.17,12,23,35,,,,
44,8.21,12,26,38,,,,
45,8.21,9,24,33,,,,
46,8.21,13,27,40,,,,
47,8.21,13,26,39,,,,
48,8.21,14,26,40,,,,
49,8.22,10,27,37,,,,
50,8.22,11,24,35,,,,
51,8.22,11,28,39,,,,
52,8.23,13,27,40,,,,
53,8.24,14,25,39,,,,
54,8.25,13,29,42,,,,
55,8.25,12,23,35,,,,
56,8.31,11,26,37,,,,
57,8.31,14,29,43,,,,
58,8.32,14,27,41,,,,
59,8.32,13,28,41,,,,
60,8.32,15,29,44,,,,
61,8.32,14,24,38,,,,
62,8.32,14,27,41,,,,
63,8.32,10,26,36,,,,
64,8.32,11,26,37,,,,
65,8.33,13,25,38,,,,
66,8.34,11,28,39,,,,
67,8.35,15,27,42,,,,
68,8.35,12,25,37,,,,
69,8.35,15,28,43,,,,
70,8.35,14,27,41,,,,
71,8.35,12,23,35,,,,
72,8.36,11,28,39,,,,
73,8.36,14,25,39,,,,
74,8.37,10,28,38,,,,
75,8.41,14,23,37,,,,
76,8.41,13,26,39,,,,
77,8.41,14,28,42,,,,
78,8.41,14,23,37,,,,
79,8.41,13,27,40,,,,
80,8.41,9,29,38,,,,
81,8.41,14,27,41,,,,
82,8.41,13,24,37,,,,
83,8.41,15,28,43,,,,
84,8.41,11,27,38,,,,
85,8.42,12,23,35,,,,
86,8.42,13,26,39,,,,
87,8.42,12,29,41,,,,
88,8.42,9,26,35,,,,
89,8.42,12,26,38,,,,
90,8.42,12,26,38,,,,
91,8.42,13,26,39,,,,
92,8.42,12,28,40,,,,
93,8.44,9,24,33,,,,
94,8.44,14,27,41,,,,
95,8.45,11,25,36,,,,
96,8.45,11,26,37,,,,
97,8.45,12,27,39,,,,
98,8.45,10,29,39,,,,
99,8.45,12,25,37,,,,
100,8.45,13,24,37,,,,
101,8.45,13,29,42,,,,
102,8.46,12,24,36,,,,
103,8.46,13,23,36,,,,
104,8.47,14,26,40,,,,
105,8.48,13,25,38,,,,
106,8.49,12,27,39,,,,
107,8.49,15,26,41,,,,
108,8.49,10,28,38,,,,
109,8.49,14,23,37,,,,
110,8.51,9,24,33,,,,
111,8.51,12,27,39,,,,
112,8.51,10,29,39,,,,
113,8.52,13,27,40,,,,
114,8.53,11,24,35,,,,
115,8.53,10,25,35,,,,
116,8.54,14,29,43,,,,
117,8.54,11,24,35,,,,
118,8.54,12,25,37,,,,
119,8.54,13,28,41,,,,
120,8.54,12,23,35,,,,
121,8.54,11,29,40,,,,
122,8.54,14,26,40,,,,
123,8.55,9,26,35,,,,
124,8.55,12,26,38,,,,
125,8.56,9,29,38,,,,
126,8.56,13,27,40,,,,
127,8.56,12,27,39,,,,
128,8.56,13,26,39,,,,
129,8.57,14,24,38,,,,
130,8.58,15,28,43,,,,
131,8.59,13,23,36,,,,
132,9.01,14,26,40,,,,
133,9.01,10,26,36,,,,
134,9.01,10,25,35,,,,
135,9.01,14,26,40,,,,
136,9.01,9,25,34,,,,
137,9.01,13,26,39,,,,
138,9.01,10,24,34,,,,
139,9.01,11,26,37,,,,
140,9.01,9,28,37,,,,
141,9.04,10,26,36,,,,
142,9.05,10,24,34,,,,
143,9.06,10,25,35,,,,
144,9.06,12,24,36,,,,
145,9.06,14,28,42,,,,
146,9.06,12,25,37,,,,
147,9.06,11,25,36,,,,
148,9.06,14,28,42,,,,
149,9.06,9,25,34,,,,
150,9.06,12,25,37,,,,
151,9.07,11,24,35,,,,
152,9.09,10,27,37,,,,
153,9.09,11,28,39,,,,
154,9.09,10,28,38,,,,
155,9.09,12,25,37,,,,
156,9.09,9,26,35,,,,
157,9.09,13,24,37,,,,
158,9.09,13,24,37,,,,
159,9.09,14,26,40,,,,
160,9.09,11,25,36,,,,
161,9.09,12,28,40,,,,
162,9.1,15,24,39,,,,
163,9.1,10,27,37,,,,
164,9.11,13,26,39,,,,
165,9.12,9,24,33,,,,
166,9.13,15,26,41,,,,
167,9.14,12,29,41,,,,
168,9.15,14,29,43,,,,
169,9.15,12,26,38,,,,
170,9.18,11,25,36,,,,
171,9.21,12,25,37,,,,
172,9.23,10,26,36,,,,
173,9.25,14,25,39,,,,
174,9.25,13,27,40,,,,
175,9.25,12,24,36,,,,
176,9.25,14,26,40,,,,
177,9.25,10,26,36,,,,
178,9.25,13,28,41,,,,
179,9.25,10,26,36,,,,
180,9.25,15,28,43,,,,
181,9.25,11,25,36,,,,
182,9.27,15,29,44,,,,
183,9.28,12,28,40,,,,
184,9.29,14,28,42,,,,
185,9.3,15,26,41,,,,
186,9.3,14,24,38,,,,
187,9.3,14,25,39,,,,
188,9.3,12,28,40,,,,
189,9.31,13,25,38,,,,
190,9.31,12,28,40,,,,
191,9.32,9,26,35,,,,
192,9.36,12,25,37,,,,
193,9.36,12,28,40,,,,
194,9.36,14,24,38,,,,
195,9.36,10,28,38,,,,
196,9.36,11,27,38,,,,
197,9.36,14,28,42,,,,
198,9.37,14,24,38,,,,
199,9.38,11,27,38,,,,
200,9.4,10,25,35,,,,
201,9.41,11,24,35,,,,
202,9.47,10,25,35,,,,
203,9.51,14,25,39,,,,
204,9.54,13,28,41,,,,
205,10.01,14,25,39,,,,
206,10.01,13,29,42,,,,
207,10.01,13,27,40,,,,
208,10.01,12,28,40,,,,
209,10.02,10,28,38,,,,
210,10.02,15,24,39,,,,
211,10.05,10,28,38,,,,
212,10.05,13,26,39,,,,
213,10.05,15,24,39,,,,
214,10.05,10,24,34,,,,
215,10.06,11,26,37,,,,
216,10.07,14,26,40,,,,
217,10.08,11,24,35,,,,
218,10.09,10,27,37,,,,
219,10.1,12,28,40,,,,
220,10.11,15,23,38,,,,
221,10.11,15,26,41,,,,
222,10.11,11,25,36,,,,
223,10.11,9,28,37,,,,
224,10.11,14,27,41,,,,
225,10.11,11,28,39,,,,
226,10.13,10,28,38,,,,
227,10.15,15,25,40,,,,
228,10.18,12,24,36,,,,
229,10.18,12,25,37,,,,
230,10.18,11,25,36,,,,
231,10.18,11,26,37,,,,
232,10.18,14,28,42,,,,
233,10.18,9,28,37,,,,
234,10.18,13,25,38,,,,
