Number,Arrival time,X1,X2,X3,,,,,,Number,Arrival time,X1,X2,X3,,,,,
1,8:00,19,7,26,,,X1,X2,X3,1,8:00,8,15,22,,,X1,X2,X3
2,8:00,23,9,32,,MEAN,23,9,32,2,8:00,6,13,19,,MEAN,8,15,23
3,8:01,19,7,26,,,,,,3,8:00,8,16,24,,,,,
4,8:01,19,7,26,,,,,,4,8:01,10,18,28,,,,,
5,8:01,21,8,29,,,,,,5,8:01,10,13,22,,,,,
6,8:02,24,10,34,,,,,,6,8:02,10,15,25,,,,,
7,8:02,19,7,27,,,,,,7,8:02,6,17,23,,,,,
8,8:03,21,8,29,,,,,,8,8:02,8,13,20,,,,,
9,8:03,26,11,37,,,,,,9,8:02,9,15,24,,,,,
10,8:03,22,8,30,,,,,,10,8:03,7,17,23,,,,,
11,8:04,20,7,27,,,,,,11,8:04,7,14,21,,,,,
12,8:04,26,11,37,,,,,,12,8:04,6,16,22,,,,,
13,8:05,26,10,36,,,,,,13,8:05,6,15,21,,,,,
14,8:05,24,9,33,,,,,,14,8:05,7,13,20,,,,,
15,8:06,23,9,32,,,,,,15,8:06,7,15,22,,,,,
16,8:07,23,9,32,,,,,,16,8:06,6,17,23,,,,,
17,8:07,26,10,36,,,,,,17,8:07,7,15,22,,,,,
18,8:07,23,9,32,,,,,,18,8:07,7,12,20,,,,,
19,8:07,20,8,28,,,,,,19,8:07,8,16,24,,,,,
20,8:08,20,7,27,,,,,,20,8:08,7,18,25,,,,,
21,8:08,21,8,29,,,,,,21,8:08,7,17,24,,,,,
22,8:08,27,11,37,,,,,,22,8:08,7,16,24,,,,,
23,8:08,22,8,30,,,,,,23,8:08,10,18,28,,,,,
24,8:09,26,10,36,,,,,,24,8:09,8,12,20,,,,,
25,8:09,19,7,26,,,,,,25,8:09,8,15,23,,,,,
26,8:10,23,9,31,,,,,,26,8:10,7,17,25,,,,,
31,8:11,26,10,36,,,,,,27,8:11,10,16,26,,,,,
32,8:11,21,8,29,,,,,,28,8:11,9,17,26,,,,,
33,8:12,20,7,27,,,,,,29,8:12,10,12,22,,,,,
34,8:12,23,9,32,,,,,,30,8:12,7,14,21,,,,,
35,8:13,25,10,36,,,,,,31,8:13,10,13,23,,,,,
36,8:13,26,11,37,,,,,,32,8:13,6,12,19,,,,,
37,8:13,26,11,37,,,,,,33,8:13,9,14,23,,,,,
38,8:14,22,8,30,,,,,,34,8:14,9,14,23,,,,,
39,8:14,19,7,26,,,,,,35,8:14,10,16,26,,,,,
40,8:14,21,8,29,,,,,,36,8:14,8,17,24,,,,,
41,8:14,22,9,31,,,,,,37,8:14,7,18,25,,,,,
42,8:15,19,7,26,,,,,,38,8:15,9,18,27,,,,,
43,8:15,24,10,34,,,,,,39,8:15,7,15,22,,,,,
