Number,Arrival time,X1,X2,X3,,,,,,,
1,8:00,15,12,27,,,X1,X2,X3,,
2,8:00,14,13,26,,MEAN,16,14,30,,
3,8:00,17,15,31,,,,,,,
4,8:01,18,16,35,,,,,,,
5,8:01,18,14,32,,,,,,,
6,8:02,19,12,31,,,,,,,
7,8:02,13,14,28,,,,,,,
8,8:03,15,13,28,,,,,,,
9,8:03,18,13,31,,,,,,,
10,8:04,14,17,31,,,,,,,
11,8:04,14,13,28,,,,,,,
12,8:04,13,12,25,,,,,,,
13,8:05,13,15,29,,,,,,,
14,8:05,14,14,28,,,,,,,
15,8:06,14,15,30,,,,,,,
16,8:06,13,16,29,,,,,,,
17,8:07,15,16,30,,,,,,,
18,8:07,15,14,29,,,,,,,
19,8:08,16,16,32,,,,,,,
20,8:09,15,17,32,,,,,,,
21,8:09,15,15,30,,,,,,,
22,8:10,15,14,29,,,,,,,
23,8:10,18,13,32,,,,,,,
24,8:11,16,16,32,,,,,,,
25,8:11,16,12,28,,,,,,,
26,8:13,15,17,31,,,,,,,
27,8:13,19,16,35,,,,,,,
28,8:15,18,16,34,,,,,,,
29,8:15,19,13,32,,,,,,,
30,8:17,15,12,26,,,,,,,
31,8:17,19,15,34,,,,,,,
32,8:18,13,11,25,,,,,,,
33,8:18,17,13,30,,,,,,,
34,8:19,18,16,34,,,,,,,
35,8:19,19,14,33,,,,,,,
36,8:20,16,13,29,,,,,,,
37,8:22,15,12,27,,,,,,,
38,8:22,18,13,31,,,,,,,
39,8:22,15,16,31,,,,,,,
40,8:22,18,13,30,,,,,,,
41,8:23,13,14,27,,,,,,,
42,8:24,14,14,29,,,,,,,
43,8:24,13,11,24,,,,,,,
44,8:25,15,14,29,,,,,,,
45,8:25,16,12,28,,,,,,,
46,8:26,16,16,32,,,,,,,
47,8:26,15,11,27,,,,,,,
48,8:29,19,15,34,,,,,,,
49,8:29,13,16,29,,,,,,,
50,8:30,14,11,25,,,,,,,
51,8:30,13,16,29,,,,,,,
52,8:33,19,14,33,,,,,,,
53,8:33,14,16,30,,,,,,,
54,8:34,15,14,28,,,,,,,
55,8:34,18,13,31,,,,,,,
56,8:35,17,15,32,,,,,,,
57,8:36,18,16,34,,,,,,,
58,8:37,17,17,34,,,,,,,
59,8:37,14,14,27,,,,,,,
60,8:38,14,14,28,,,,,,,
61,8:40,18,11,29,,,,,,,
62,8:42,17,16,32,,,,,,,
63,8:42,14,16,30,,,,,,,
64,8:42,15,15,30,,,,,,,
65,8:42,16,12,28,,,,,,,
66,8:43,17,12,29,,,,,,,
67,8:43,16,17,33,,,,,,,
68,8:44,14,16,30,,,,,,,
69,8:44,19,16,35,,,,,,,
70,8:46,17,13,31,,,,,,,
71,8:46,16,17,33,,,,,,,
72,8:48,18,12,30,,,,,,,
73,8:48,18,13,31,,,,,,,
74,8:48,15,15,30,,,,,,,
75,8:48,14,15,29,,,,,,,
76,8:49,18,12,31,,,,,,,
77,8:49,14,14,27,,,,,,,
78,8:49,13,13,27,,,,,,,
79,8:49,18,17,35,,,,,,,
