Number,Arrival time,X1,X2,X3,,,,,
1,8:00,11,18,29,,,,,
2,8:00,10,17,26,,,X1,X2,X3
3,8:00,12,18,30,,MEAN,10,18,28
4,8:00,10,18,27,,,,,
5,8:00,8,17,24,,,,,
6,8:00,7,17,24,,,,,
7,8:00,9,16,25,,,,,
8,8:01,11,17,28,,,,,
9,8:01,10,19,29,,,,,
10,8:01,12,16,28,,,,,
11,8:01,9,17,25,,,,,
12,8:01,8,19,27,,,,,
13,8:01,7,17,23,,,,,
14,8:02,8,16,24,,,,,
15,8:02,8,17,25,,,,,
16,8:02,12,19,31,,,,,
17,8:02,8,17,25,,,,,
18,8:02,13,16,30,,,,,
19,8:02,7,17,24,,,,,
20,8:02,13,19,31,,,,,
21,8:03,10,17,28,,,,,
22,8:03,13,20,33,,,,,
23,8:03,14,20,34,,,,,
24,8:03,12,17,29,,,,,
25,8:03,11,16,27,,,,,
26,8:04,7,17,24,,,,,
27,8:04,12,20,32,,,,,
28,8:04,9,18,28,,,,,
29,8:05,8,17,25,,,,,
30,8:06,9,19,28,,,,,
31,8:06,11,19,30,,,,,
32,8:06,12,18,30,,,,,
33,8:06,10,17,27,,,,,
34,8:07,13,17,30,,,,,
35,8:07,10,17,27,,,,,
36,8:07,14,19,33,,,,,
37,8:07,7,20,27,,,,,
38,8:07,7,19,26,,,,,
39,8:07,8,17,25,,,,,
40,8:08,11,20,31,,,,,
41,8:08,7,17,24,,,,,
42,8:08,6,17,23,,,,,
43,8:08,11,20,30,,,,,
44,8:08,12,16,28,,,,,
45,8:09,13,18,31,,,,,
46,8:09,10,17,28,,,,,
47,8:09,7,19,26,,,,,
48,8:09,13,20,33,,,,,
49,8:09,8,17,25,,,,,
50,8:09,10,19,30,,,,,
51,8:10,13,17,30,,,,,
52,8:10,7,17,23,,,,,
53,8:11,9,19,28,,,,,
54,8:11,14,20,33,,,,,
55,8:11,7,18,25,,,,,
56,8:11,9,20,29,,,,,
57,8:11,13,17,30,,,,,
58,8:11,6,19,25,,,,,
59,8:11,12,18,30,,,,,
60,8:12,7,16,24,,,,,
61,8:12,11,18,29,,,,,
62,8:12,10,18,27,,,,,
63,8:12,8,17,25,,,,,
64,8:13,8,18,26,,,,,
65,8:13,13,20,33,,,,,
66,8:13,13,17,30,,,,,
67,8:13,12,19,31,,,,,
68,8:13,8,19,27,,,,,
69,8:13,7,17,24,,,,,
70,8:13,11,18,29,,,,,
71,8:14,11,17,28,,,,,
72,8:15,13,18,30,,,,,
73,8:15,10,17,26,,,,,
74,8:15,13,19,32,,,,,
75,8:15,6,17,23,,,,,
76,8:15,11,18,29,,,,,
77,8:15,9,18,27,,,,,
78,8:15,12,19,31,,,,,
79,8:16,6,18,24,,,,,
80,8:16,8,19,27,,,,,
81,8:16,9,20,29,,,,,
82,8:16,11,18,29,,,,,
83,8:17,7,20,27,,,,,
84,8:17,12,16,28,,,,,
85,8:17,14,16,30,,,,,
86,8:17,11,19,30,,,,,
87,8:17,8,19,26,,,,,
88,8:17,8,17,25,,,,,
89,8:17,8,18,26,,,,,
90,8:18,9,17,26,,,,,
91,8:18,12,17,29,,,,,
92,8:19,12,16,28,,,,,
93,8:19,6,17,24,,,,,
94,8:19,8,19,27,,,,,
95,8:19,12,17,29,,,,,
96,8:19,14,17,31,,,,,
97,8:19,11,18,28,,,,,
98,8:19,13,18,31,,,,,
99,8:20,10,18,28,,,,,
100,8:20,13,17,30,,,,,
101,8:20,8,18,26,,,,,
102,8:20,6,20,26,,,,,
103,8:20,10,17,27,,,,,
104,8:21,7,19,25,,,,,
105,8:21,7,16,24,,,,,
106,8:21,13,17,31,,,,,
107,8:21,7,18,25,,,,,
108,8:21,7,18,25,,,,,
109,8:22,7,16,23,,,,,
110,8:22,6,20,26,,,,,
111,8:22,11,17,28,,,,,
112,8:23,6,20,26,,,,,
113,8:23,8,19,27,,,,,
114,8:23,8,20,28,,,,,
115,8:23,12,18,30,,,,,
116,8:23,6,17,23,,,,,
117,8:23,6,18,24,,,,,
118,8:24,7,19,27,,,,,
119,8:24,10,18,27,,,,,
120,8:24,9,17,26,,,,,
121,8:24,8,18,26,,,,,
122,8:25,6,17,23,,,,,
123,8:25,13,20,33,,,,,
124,8:25,10,17,26,,,,,
125,8:25,9,18,27,,,,,
126,8:25,10,19,29,,,,,
127,8:25,13,17,30,,,,,
128,8:25,12,18,30,,,,,
129,8:25,11,19,30,,,,,
130,8:26,9,16,26,,,,,
131,8:26,14,19,33,,,,,
132,8:26,10,18,28,,,,,
133,8:27,11,20,31,,,,,
134,8:27,9,19,27,,,,,
135,8:27,13,18,31,,,,,
136,8:27,9,17,26,,,,,
137,8:27,11,16,28,,,,,
138,8:27,7,16,23,,,,,
139,8:27,8,16,24,,,,,
140,8:28,13,18,30,,,,,
141,8:28,8,19,27,,,,,
142,8:29,9,17,26,,,,,
143,8:30,7,18,25,,,,,
144,8:31,10,20,30,,,,,
145,8:31,13,19,32,,,,,
146,8:31,12,20,32,,,,,
147,8:31,14,18,32,,,,,
148,8:31,11,18,29,,,,,
149,8:32,11,16,27,,,,,
150,8:32,10,20,30,,,,,
151,8:32,7,17,23,,,,,
152,8:32,10,19,29,,,,,
153,8:32,10,18,28,,,,,
154,8:33,14,17,31,,,,,
155,8:33,7,19,27,,,,,
156,8:33,9,17,26,,,,,
157,8:33,14,16,30,,,,,
158,8:33,9,17,26,,,,,
159,8:34,10,19,29,,,,,
160,8:34,10,16,26,,,,,
161,8:34,11,17,28,,,,,
162,8:35,12,16,28,,,,,
163,8:35,8,17,25,,,,,
164,8:35,13,16,29,,,,,
165,8:35,9,18,26,,,,,
166,8:35,11,17,28,,,,,
167,8:35,13,19,32,,,,,
168,8:35,11,19,29,,,,,
169,8:36,9,17,26,,,,,
170,8:36,11,19,30,,,,,
171,8:36,8,16,24,,,,,
172,8:37,7,16,23,,,,,
173,8:37,9,19,27,,,,,
174,8:37,10,16,26,,,,,
175,8:37,10,19,29,,,,,
176,8:37,7,18,25,,,,,
177,8:37,11,16,27,,,,,
178,8:37,13,19,32,,,,,
179,8:37,7,19,26,,,,,
180,8:38,14,17,31,,,,,
181,8:38,7,17,23,,,,,
182,8:38,10,18,29,,,,,
183,8:39,12,17,30,,,,,
184,8:39,12,18,30,,,,,
185,8:39,7,18,25,,,,,
186,8:39,11,17,28,,,,,
187,8:39,13,18,31,,,,,
188,8:39,7,17,24,,,,,
189,8:41,10,18,28,,,,,
190,8:43,7,18,25,,,,,
